bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.net.energy_savings..kwh,out.utility_bills.total_bill_savings..usd,out.energy_burden_savings..percentage,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
184,134088.0,1228.0,3,3,Not in a census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-707.180492392599,157.01,0.117094743750373,1116.2772147989
216,129887.0,2179.0,3,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,2,2,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-1339.6278618842,113.49,0.0873759498641127,1494.9089097327
1254,,1698.0,3,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,100% Usage,Vacant,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-154.4484539954,62.3900000000001,,337.0826338418
1979,46244.0,623.0,1,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,500-749,0-1499,15,4,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,1667.2813183678,445.12,0.962546492517947,125.2459252044
2277,130771.0,854.0,2,3,"CA, San Mateo",,,100% Usage,100% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,3,3,Electricity,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-465.3968594776,181.44,0.138746358137508,800.817329235
2544,261599.0,1698.0,3,3,"CA, San Bruno",Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Electricity,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-416.4539907542,167.38,0.0639834250130926,710.7701719426
2973,12377.0,273.0,1,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,0-499,0-1499,1,1,Electricity,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-910.5718151114,166.21,1.34289407772481,1318.774456538
4105,129602.0,1698.0,3,3,"CA, Daly City",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Electricity,Uninsulated,80% Usage,Occupied,Low,Electric Tankless,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,4568.6849133478,1219.7,0.941112019876236,364.0940594753
4347,137327.0,854.0,2,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,750-999,0-1499,2,2,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-518.735794254,98.97,0.0720688575444015,766.9974821278
4961,282618.0,2179.0,4,3,"CA, San Mateo",Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,2,2,Electricity,Uninsulated,60% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1644.128703822,-145.46,-0.0514687670282852,875.478633337
5354,145989.0,3310.0,5,3,"CA, Redwood City",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,1,1,Electricity,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-1194.5576821352,175.440000000001,0.12017343772476,1579.9710868788
6283,89096.0,854.0,2,3,In another census Place,,,120% Usage,120% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,3,3,Electricity,Uninsulated,140% Usage,Occupied,High,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,1996.6932012726,533.05,0.598287240729102,156.4258647182
6393,54023.0,1698.0,3,4,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,140% Usage,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-424.6599807198,53.23,0.0985321066952967,530.6395699682
6396,126869.0,1228.0,4,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Electric Premium,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,519.9080785348,134.54,0.106046394312243,27.3334762161999
6823,52943.0,623.0,2,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,2,2,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-506.7198803758,129.16,0.243960485805489,858.1241892608
