bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.door_area,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
184,134088.0,1228.0,3,3,6.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,1116.2772147989
216,129887.0,2179.0,3,3,5.0,1.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,1494.9089097327
1254,,1698.0,3,3,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,337.0826338418
1979,46244.0,623.0,1,3,5.0,1.0,1.0,20.0,624.5,749.5,15,4,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,125.2459252044
2277,130771.0,854.0,2,3,3.0,0.0,0.0,20.0,874.5,749.5,3,3,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,800.817329235
2544,261599.0,1698.0,3,3,2.0,2.0,1.0,20.0,1749.5,1999.5,1,1,1.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,710.7701719426
2973,12377.0,273.0,1,3,5.0,0.0,0.0,20.0,249.5,749.5,1,1,1.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,1318.774456538
4105,129602.0,1698.0,3,3,0.0,1.0,1.0,20.0,1749.5,1999.5,1,1,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,364.0940594753
4347,137327.0,854.0,2,3,5.0,1.0,1.0,20.0,874.5,749.5,2,2,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,766.9974821278
4961,282618.0,2179.0,4,3,3.0,2.0,1.0,20.0,2249.5,1999.5,2,2,1.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,875.478633337
