bldg_id,in.representative_income,in.sqft..ft2,in.area_median_income,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.federal_poverty_level,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.income,in.income_recs_2020,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.hot_water.energy_savings..kwh,out.site_energy.net.energy_savings..kwh,out.electricity.net.energy_savings..kwh,out.utility_bills.total_bill_savings..usd,out.energy_burden_savings..percentage,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
184,134088.0,1228.0,80-100%,3,3,Not in a census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,80% Usage,120000-139999,100000-149999,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-788.361178838,4450.284200987,-707.1804923925993,157.00999999999976,0.1170947437503731,1116.2772147989008
216,129887.0,2179.0,80-100%,3,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,200-300%,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,2,2,Natural Gas,Uninsulated,80% Usage,120000-139999,100000-149999,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-1398.2420759242,5689.095614722399,-1339.6278618841989,113.49000000000024,0.0873759498641126,1494.9089097327003
1979,46244.0,623.0,30-60%,1,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,200-300%,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,500-749,0-1499,15,4+,Natural Gas,Uninsulated,70% Usage,45000-49999,40000-59999,Occupied,Low,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,1667.2813183678004,1667.2813183677997,1667.2813183678,445.1199999999999,0.9625464925179474,125.2459252044
2277,130771.0,854.0,100-120%,2,3,"CA, San Mateo",,,100% Usage,100% Usage,20 ft^2,400%+,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,3,3,Electricity,Uninsulated,100% Usage,120000-139999,100000-149999,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-465.39685947760006,3207.9559344092,-465.3968594776002,181.44000000000003,0.1387463581375076,800.817329235
2544,261599.0,1698.0,150%+,3,3,"CA, San Bruno",Standard,Yes,80% Usage,80% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Electricity,Uninsulated,70% Usage,200000+,150000+,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-446.933382055,2851.8745841162,-416.4539907542003,167.3800000000001,0.0639834250130926,710.7701719426002
2973,12377.0,273.0,0-30%,1,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,0-100%,Single-Family Attached,Single-Family Attached,Single-Family Attached,0-499,0-1499,1,1,Electricity,Uninsulated,100% Usage,10000-14999,<20000,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-910.5718151114,5194.977790365199,-910.5718151113996,166.21000000000004,1.3428940777248126,1318.7744565380003
4105,129602.0,1698.0,120-150%,3,3,"CA, Daly City",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,200-300%,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Electricity,Uninsulated,80% Usage,120000-139999,100000-149999,Occupied,Low,Electric Tankless,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,4529.706461011199,4568.6849133478,4568.6849133478,1219.6999999999998,0.9411120198762364,364.0940594753001
4347,137327.0,854.0,80-100%,2,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,400%+,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,750-999,0-1499,2,2,Natural Gas,Uninsulated,90% Usage,120000-139999,100000-149999,Occupied,Medium,Natural Gas Premium,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-518.735794254,3023.6142312533993,-518.7357942540002,98.97000000000004,0.0720688575444015,766.9974821278004
4961,282618.0,2179.0,150%+,4,3,"CA, San Mateo",Standard,Yes,80% Usage,80% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,2,2,Electricity,Uninsulated,60% Usage,200000+,150000+,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-590.538206453,2733.7669428256013,-1644.1287038219998,-145.46000000000004,-0.0514687670282851,875.4786333369996
5354,145989.0,3310.0,120-150%,5,3,"CA, Redwood City",Standard,Yes,100% Usage,100% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,1,1,Electricity,Uninsulated,100% Usage,140000-159999,150000+,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-1162.3198644132,6180.575799447797,-1194.5576821352006,175.4400000000005,0.1201734377247603,1579.9710868788006
